id,age,age40,category,city,country,institutions,male,money,response
104092,5,1,5,Zagreb,Croatia,4,1,0,0
104061,5,1,2,Zagreb,Croatia,1,0,0,100
104081,5,1,3,Zagreb,Croatia,2,1,0,100
104004,5,1,3,Zagreb,Croatia,2,1,1,0
104113,4,1,5,Zagreb,Croatia,4,1,1,100
104102,3,0,2,Zagreb,Croatia,1,0,0,100
104056,3,0,5,Zagreb,Croatia,4,0,0,100
104040,4,1,4,Zagreb,Croatia,3,0,0,0
104022,4,1,2,Zagreb,Croatia,1,0,0,100
104053,3,0,1,Zagreb,Croatia,0,1,1,100
104075,3,0,2,Zagreb,Croatia,1,1,0,100
104089,4,1,3,Zagreb,Croatia,2,1,1,100
104047,5,1,2,Zagreb,Croatia,1,0,1,100
104029,5,1,3,Zagreb,Croatia,2,1,1,100
104097,1,0,5,Zagreb,Croatia,4,0,0,0
104033,4,1,2,Zagreb,Croatia,1,1,0,100
104080,4,1,2,Zagreb,Croatia,1,0,0,100
104094,4,1,2,Zagreb,Croatia,1,0,0,0
104006,4,1,4,Zagreb,Croatia,3,0,0,0
104017,4,1,2,Zagreb,Croatia,1,0,1,100
104072,2,0,3,Zagreb,Croatia,2,0,0,100
104057,2,0,3,Zagreb,Croatia,2,0,1,100
104060,2,0,3,Zagreb,Croatia,2,0,1,100
104001,2,0,3,Zagreb,Croatia,2,1,0,0
104002,3,0,4,Zagreb,Croatia,3,0,0,0
104014,2,0,5,Zagreb,Croatia,4,0,0,0
104049,5,1,5,Zagreb,Croatia,4,1,1,100
104101,3,0,2,Zagreb,Croatia,1,0,0,100
104058,4,1,5,Zagreb,Croatia,4,0,0,100
104036,3,0,3,Zagreb,Croatia,2,0,1,100
104082,6,1,4,Zagreb,Croatia,3,1,0,0
104041,3,0,4,Zagreb,Croatia,3,1,0,100
104076,4,1,5,Zagreb,Croatia,4,1,1,100
104110,3,0,1,Zagreb,Croatia,0,0,1,100
104073,4,1,4,Zagreb,Croatia,3,0,1,0
104070,3,0,4,Zagreb,Croatia,3,0,1,0
104095,2,0,2,Zagreb,Croatia,1,0,0,100
104050,3,0,3,Zagreb,Croatia,2,1,0,0
104106,4,1,1,Zagreb,Croatia,0,1,0,100
